label,x_ctr,y_ctr,z_ctr,length,width,height,num_points,is_car_cluster
0,-0.34123980435486206,-1.1258751841691823,0.0,2.6247659623622894,1.6429287195205688,0.0,247,0
1,0.965414614388437,-2.1948185906265723,0.0,0.480962872505188,0.37361598014831543,0.0,33,0
2,6.019823165166946,-7.361180180595035,0.0,1.540560245513916,0.9348101615905762,0.0,42,0
3,2.3523314732771654,-1.9761622135455792,0.0,0.22811365127563477,0.46489882469177246,0.0,26,1
4,0.7509818491321755,0.5326850995672872,0.0,4.0944549441337585,4.05208945274353,0.0,687,0
0,0.5428712584219526,-1.3995190753578877,0.0,5.489083170890808,0.48468148708343506,0.0,453,0
1,6.34527591864268,-1.1015522529681523,0.0,0.12006616592407227,0.2940695881843567,0.0,12,1
2,10.84213900566101,-1.0650232404470443,0.0,0.08928489685058594,0.8971181511878967,0.0,20,0
3,0.25889774286733125,0.3196164499299287,0.0,2.7936017513275146,0.27933282405138016,0.0,529,0
0,0.4693341528857284,-0.8974132906351842,0.0,4.627356231212616,0.16315311193466187,0.0,482,0
1,7.142505611692156,-1.1445393647466386,0.0,0.06505250930786133,0.4097462296485901,0.0,14,0
2,2.6847415337195764,-0.19324368610978127,0.0,0.007543802261352539,0.2933512218296528,0.0,26,1
3,7.167838801508364,0.24985278477077313,0.0,0.24250125885009766,0.6704185158014297,0.0,23,0
4,0.4651350885792472,0.7940044172078251,0.0,4.509950757026672,0.18453282117843628,0.0,498,0
0,0.18642565293532518,-0.3618765621359093,0.0,2.2642891108989716,0.7694357335567474,0.0,439,0
1,6.839099988704774,-1.987260449223402,0.0,0.37757396697998047,1.1867705583572388,0.0,41,0
2,2.6985034197568893,-0.3384883035905659,0.0,0.4639766216278076,0.44366711378097534,0.0,32,1
3,0.7004191515383258,1.2484185566217827,0.0,7.007782459259033,2.371342435479164,0.0,547,0
0,0.46121770772420023,-0.8495942682760661,0.0,4.534688353538513,0.08354794979095459,0.0,488,0
1,11.605956792831421,-0.7841521253188452,0.0,0.042006492614746094,0.559050977230072,0.0,12,0
2,7.128518104553223,-0.13963541556348674,0.0,0.0007963180541992188,0.27932761421300256,0.0,10,1
3,11.58592929840088,0.4034007966518402,0.0,0.24470138549804688,0.6944533586502075,0.0,15,0
4,0.4554303830145448,0.8396801794964843,0.0,4.410425305366516,0.08882361650466919,0.0,489,0
0,0.37147841155147293,-0.6409003735802566,0.0,3.6697150468826294,0.09192091226577759,0.0,491,0
1,10.981246948242188,-0.47826900529234034,0.0,0.06553173065185547,0.8609596118330956,0.0,19,0
2,6.254486757166245,0.2199778046202977,0.0,0.4945693016052246,0.46146633668547565,0.0,17,1
3,0.5242797898825621,1.0468174082716715,0.0,5.043042182922363,0.13775229454040527,0.0,485,0
0,0.4443284328465166,-1.2220777148424193,0.0,4.681923747062683,1.0751387476921082,0.0,430,0
1,10.41800440274752,-3.102693585249094,0.0,0.27962303161621094,1.1551992893218994,0.0,26,0
2,8.77409714460373,-1.7597195878624916,0.0,0.2976675033569336,0.6914999485015869,0.0,16,1
3,0.39537564675847536,0.5227324291052444,0.0,3.9666616320610046,0.9469533860683441,0.0,550,0
0,0.2952080296839843,-0.39941135566306973,0.0,3.0607717037200928,0.33892250061035156,0.0,527,0
1,10.490558966612204,1.4245068705998933,0.0,0.33936309814453125,1.7160786390304565,0.0,39,0
2,1.4480753048261006,1.4115949217478434,0.0,3.8575066924095154,0.38133299350738525,0.0,225,0
3,-0.14362912457602356,0.4959868107335683,0.0,0.5291760936379433,0.1617433726787567,0.0,227,1
0,0.03403373314461589,-1.0383254207303743,0.0,3.730538487434387,2.3296619951725006,0.0,467,0
1,2.4564442350750877,-0.560234526793162,0.0,0.08258175849914551,0.44348806142807007,0.0,42,1
2,0.9804842669764184,0.9283685205293722,0.0,3.600247859954834,2.320193648338318,0.0,570,0
0,0.2151233804184241,-0.5943796768319979,0.0,2.370149791240692,0.8042520582675934,0.0,417,0
1,3.033908264290902,-0.28066559328235074,0.0,3.1692593097686768,2.8750754594802856,0.0,248,0
2,0.20767238128177237,0.3283550571804204,0.0,0.6095391176640987,0.304182231426239,0.0,242,1
3,-0.6960774567731888,1.4531584771382327,0.0,1.7596524581313133,0.6085218191146851,0.0,173,0
0,0.2151233804184241,-0.5943796768319979,0.0,2.370149791240692,0.8042520582675934,0.0,417,0
1,3.7204712138456455,-1.6894433685377532,0.0,0.3849320411682129,0.8014962673187256,0.0,51,0
2,2.5461267718562373,-0.5143695310861977,0.0,0.26482367515563965,0.6233083605766296,0.0,54,1
